term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value
m0,3,442.0523627710445,449.9272812108973,-218.02618138552225,436.0523627710445,NA,NA,NA
m1,5,442.8540659504788,455.97893001690016,-216.4270329752394,432.8540659504788,3.1982968205657016,2,0.20206852422228028
