term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value
m0,3,336.42012006151145,344.3532927589356,-165.21006003075573,330.42012006151145,NA,NA,NA
m1,5,325.7028553077812,338.9248098034881,-157.8514276538906,315.7028553077812,14.717264753730262,2,6.370691345120479e-4
