term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value
m0,3,-296.99696131737096,-289.1515997668472,151.49848065868548,-302.99696131737096,NA,NA,NA
m1,5,-293.11646313310405,-280.04086054889774,151.55823156655202,-303.11646313310405,0.11950181573308782,2,0.9419991489403392
