term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value
m0,3,-216.6752917682099,-208.80037332835707,111.33764588410494,-222.6752917682099,NA,NA,NA
m1,5,-214.91052695920112,-201.78566289277978,112.45526347960056,-224.91052695920112,2.235235190991233,2,0.3270580517689978
