term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value
m0,3,-331.7303237470381,-323.7684426965655,168.86516187351904,-337.7303237470381,NA,NA,NA
m1,5,-330.2167478552807,-316.94694610449307,170.10837392764034,-340.2167478552807,2.486424108242602,2,0.2884561914028035
