term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value
m0,3,458.7658421293542,466.7277231798268,-226.3829210646771,452.7658421293542,NA,NA,NA
m1,5,443.96291355301014,457.23271530379776,-216.98145677650507,433.96291355301014,18.802928576344073,2,8.260302232860628e-5
