term,contrast,null.value,estimate,std.error,df,statistic,adj.p.value
condition,harmonic - inharmonic,0,-0.33570891470329056,0.26981670450107287,67.76393296618403,-1.2442110110419635,0.4316080063643345
condition,harmonic - inharmonic_changing,0,-1.0291169375246776,0.2677767699428521,67.10963455149475,-3.8431897499708723,7.868513021395129e-4
condition,inharmonic - inharmonic_changing,0,-0.693408022821387,0.2698167045010724,67.76393296618403,-2.5699225112974093,0.03273575495808834
