term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value
m0,3,-390.43356355901483,-382.5003908615907,198.21678177950741,-396.43356355901483,NA,NA,NA
m1,5,-388.0209169750662,-374.7989624793593,199.0104584875331,-398.0209169750662,1.5873534160513714,2,0.45217920430329867
