term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value
m0,3,453.09564483076963,460.9410063812934,-223.54782241538481,447.09564483076963,NA,NA,NA
m1,5,454.9083714155361,467.98397399974243,-222.45418570776806,444.9083714155361,2.1872734152335056,2,0.3349959932699677
