,p2_amp,pid,condition,deviance
0,2.515561661831698,1,harmonic,standard
1,0.7467627642839525,2,harmonic,standard
2,0.9867513757887892,3,harmonic,standard
3,1.434961879492632,4,harmonic,standard
4,-0.1312758370368258,5,harmonic,standard
5,1.306836451732336,6,harmonic,standard
6,-1.9772127902613252,7,harmonic,standard
7,-0.08265263569434582,8,harmonic,standard
8,0.7920131750377074,9,harmonic,standard
9,-0.49484858479535976,10,harmonic,standard
10,1.6455264961428395,11,harmonic,standard
11,-0.6211443801088298,12,harmonic,standard
12,1.7813052487291512,13,harmonic,standard
13,-1.4973029653688892,14,harmonic,standard
14,-0.7495450883652458,15,harmonic,standard
15,1.8130802349152226,16,harmonic,standard
16,0.9793060413946147,17,harmonic,standard
17,0.045480092321842976,18,harmonic,standard
18,0.5243469938087695,19,harmonic,standard
19,-0.5404778932066875,20,harmonic,standard
20,-3.240376170938263,21,harmonic,standard
21,-1.9361624424330075,22,harmonic,standard
22,-0.004980544678227807,23,harmonic,standard
23,-0.02865558062321965,24,harmonic,standard
24,-0.1555826691554543,25,harmonic,standard
25,0.6061869553909024,26,harmonic,standard
26,1.6420934392923787,29,harmonic,standard
27,2.095475628438501,30,harmonic,standard
28,0.8610963217397424,31,harmonic,standard
29,0.21004868081725825,32,harmonic,standard
30,1.5874533741235421,33,harmonic,standard
31,-2.7524075650132414,34,harmonic,standard
32,0.4540554052536752,35,harmonic,standard
33,0.8928652988858639,36,harmonic,standard
34,2.2477288552326438,37,harmonic,standard
35,1.692156125632207,1,harmonic,deviant_1
36,-0.2792197110793545,2,harmonic,deviant_1
37,-2.118732257550598,3,harmonic,deviant_1
38,0.4619869083796525,4,harmonic,deviant_1
39,-0.44818993253835954,5,harmonic,deviant_1
40,1.4603628836795706,6,harmonic,deviant_1
41,-3.3297026998440815,7,harmonic,deviant_1
42,-0.616003544979373,8,harmonic,deviant_1
43,-0.04336873700222855,9,harmonic,deviant_1
44,-1.8117550964178817,10,harmonic,deviant_1
45,1.1131313192617267,11,harmonic,deviant_1
46,-2.37168267256626,12,harmonic,deviant_1
47,1.4072632581386615,13,harmonic,deviant_1
48,-3.370877930553151,14,harmonic,deviant_1
49,-0.7390699943395924,15,harmonic,deviant_1
50,-0.4289460464454403,16,harmonic,deviant_1
51,1.128569158180476,17,harmonic,deviant_1
52,0.18711903710453157,18,harmonic,deviant_1
53,-0.5835255308033406,19,harmonic,deviant_1
54,-1.3263331741719162,20,harmonic,deviant_1
55,-6.526030054077317,21,harmonic,deviant_1
56,-2.12952999631346,22,harmonic,deviant_1
57,-3.2178610081816985,23,harmonic,deviant_1
58,-2.5365834820232065,24,harmonic,deviant_1
59,-1.0477576940456297,25,harmonic,deviant_1
60,0.3280526114214481,26,harmonic,deviant_1
61,1.792663938211627,29,harmonic,deviant_1
62,1.2130692308389013,30,harmonic,deviant_1
63,0.9523833451020212,31,harmonic,deviant_1
64,-2.1806179533213683,32,harmonic,deviant_1
65,-2.4989053707743234,33,harmonic,deviant_1
66,-4.200287201812679,34,harmonic,deviant_1
67,-0.5908600636297883,35,harmonic,deviant_1
68,0.9614738173019984,36,harmonic,deviant_1
69,1.3234671180559725,37,harmonic,deviant_1
70,1.0273014583640534,1,inharmonic,standard
71,-0.11174530976099971,2,inharmonic,standard
72,-3.997336296432487,3,inharmonic,standard
73,0.6790081050372464,4,inharmonic,standard
74,-0.3880851816250978,5,inharmonic,standard
75,0.7904972256298348,6,inharmonic,standard
76,-4.437065566990757,7,inharmonic,standard
77,-0.7773487918513158,8,inharmonic,standard
78,-0.43750128835895125,9,inharmonic,standard
79,-2.0149289507059653,10,inharmonic,standard
80,1.0490492347858285,11,inharmonic,standard
81,-2.4146299853560484,12,inharmonic,standard
82,0.7578931310196735,13,inharmonic,standard
83,-1.90183228382352,14,inharmonic,standard
84,-0.49306391417827244,15,inharmonic,standard
85,-0.7439261578613648,16,inharmonic,standard
86,-1.2022549775706892,17,inharmonic,standard
87,-1.1773537963436,18,inharmonic,standard
88,-0.8428809909766801,19,inharmonic,standard
89,-0.6376249448093375,20,inharmonic,standard
90,-4.848931635353266,21,inharmonic,standard
91,-2.929811379583283,22,inharmonic,standard
92,-1.8139768829038034,23,inharmonic,standard
93,-1.3055301415100213,24,inharmonic,standard
94,-0.4494734652555665,25,inharmonic,standard
95,0.43777591512969805,26,inharmonic,standard
96,0.6885550189099736,29,inharmonic,standard
97,-0.6542007012236742,30,inharmonic,standard
98,-1.5242252878858773,31,inharmonic,standard
99,-1.6690855352889373,32,inharmonic,standard
100,0.6756180699305878,33,inharmonic,standard
101,-4.3731175619365,34,inharmonic,standard
102,0.28865433079485237,35,inharmonic,standard
103,0.10918914273251946,36,inharmonic,standard
104,2.4221375502432667,37,inharmonic,standard
105,-0.6005465415737932,1,inharmonic,deviant_1
106,-0.349826001502639,2,inharmonic,deviant_1
107,-1.9023360988579208,3,inharmonic,deviant_1
