,pid,task,condition,response,gt
0,2,t1,i,2,0
1,2,t1,i,2,0
2,2,t1,ic,2,0
3,2,t1,ic,3,0
4,2,t1,ic,3,0
5,2,t1,i,3,0
6,2,t1,h,2,0
7,2,t1,h,1,0
8,2,t1,h,1,0
9,2,t2,h,2,2
10,2,t2,ic,4,4
11,2,t2,h,3,3
12,2,t2,h,2,2
13,2,t2,i,2,2
14,2,t2,h,3,3
15,2,t2,i,2,2
16,2,t2,i,3,3
17,2,t2,i,3,3
18,2,t2,h,2,2
19,2,t2,i,3,3
20,2,t2,ic,7,3
21,2,t2,ic,9,3
22,2,t2,ic,8,3
23,2,t2,ic,10,3
