,pid,task,condition,response,gt
0,5,t1,i,2,0
1,5,t1,ic,3,0
2,5,t1,i,2,0
3,5,t1,h,1,0
4,5,t1,ic,3,0
5,5,t1,h,1,0
6,5,t1,ic,3,0
7,5,t1,h,2,0
8,5,t1,i,2,0
9,5,t2,i,3,3
10,5,t2,h,2,2
11,5,t2,ic,2,2
12,5,t2,h,2,2
13,5,t2,i,2,2
14,5,t2,ic,4,3
15,5,t2,i,3,3
16,5,t2,i,2,2
17,5,t2,ic,3,3
18,5,t2,h,3,3
19,5,t2,h,3,3
20,5,t2,h,2,3
21,5,t2,i,3,3
22,5,t2,ic,6,1
23,5,t2,ic,4,3
