,pid,task,condition,response,gt
0,9333,t1,h,1,0
1,9333,t1,h,1,0
2,9333,t1,h,1,0
3,9333,t1,i,2,0
4,9333,t1,i,3,0
5,9333,t1,i,3,0
6,9333,t1,ic,3,0
7,9333,t1,ic,1,0
8,9333,t1,ic,1,0
9,9333,t2,ic,3,3
10,9333,t2,i,2,1
11,9333,t2,h,3,2
12,9333,t2,ic,7,2
13,9333,t2,i,3,2
14,9333,t2,h,4,3
15,9333,t2,i,4,3
16,9333,t2,ic,5,3
17,9333,t2,i,5,4
18,9333,t2,h,3,2
19,9333,t2,i,4,3
20,9333,t2,ic,15,3
21,9333,t2,ic,6,3
22,9333,t2,h,3,2
23,9333,t2,h,4,3
