,pid,task,condition,response,gt
0,9,t1,h,1,0
1,9,t1,ic,2,0
2,9,t1,i,2,0
3,9,t1,ic,3,0
4,9,t1,ic,2,0
5,9,t1,i,1,0
6,9,t1,i,1,0
7,9,t1,h,1,0
8,9,t1,h,1,0
9,9,t2,i,3,3
10,9,t2,h,3,3
11,9,t2,h,4,4
12,9,t2,ic,1,2
13,9,t2,h,2,3
14,9,t2,h,4,4
15,9,t2,ic,1,3
16,9,t2,ic,2,2
17,9,t2,i,4,3
18,9,t2,i,,3
19,9,t2,ic,6,3
20,9,t2,i,4,3
21,9,t2,i,4,4
22,9,t2,h,4,4
23,9,t2,ic,1,3
