,pid,task,condition,response,gt
0,3389,t1,ic,3,0
1,3389,t1,h,1,0
2,3389,t1,h,1,0
3,3389,t1,i,1,0
4,3389,t1,h,1,0
5,3389,t1,ic,3,0
6,3389,t1,i,1,0
7,3389,t1,i,1,0
8,3389,t1,ic,3,0
9,3389,t2,i,2,2
10,3389,t2,ic,20,3
11,3389,t2,ic,20,2
12,3389,t2,i,4,4
13,3389,t2,i,2,2
14,3389,t2,h,3,3
15,3389,t2,ic,10,3
16,3389,t2,i,4,3
17,3389,t2,h,4,4
18,3389,t2,ic,10,2
19,3389,t2,ic,8,3
20,3389,t2,h,2,2
21,3389,t2,h,2,2
22,3389,t2,i,3,3
23,3389,t2,h,3,3
