,pid,task,condition,response,gt
0,15,t1,i,2,0
1,15,t1,h,1,0
2,15,t1,ic,3,0
3,15,t1,h,1,0
4,15,t1,ic,3,0
5,15,t1,ic,3,0
6,15,t1,h,1,0
7,15,t1,i,2,0
8,15,t1,i,2,0
9,15,t2,ic,6,3
10,15,t2,ic,8,3
11,15,t2,ic,10,3
12,15,t2,h,5,3
13,15,t2,ic,4,2
14,15,t2,i,3,3
15,15,t2,h,6,5
16,15,t2,h,3,3
17,15,t2,i,5,4
18,15,t2,i,2,2
19,15,t2,h,4,3
20,15,t2,i,5,4
21,15,t2,h,5,4
22,15,t2,ic,8,2
23,15,t2,i,1,1
