,pid,task,condition,response,gt
0,6434,t1,h,3,0
1,6434,t1,i,3,0
2,6434,t1,ic,3,0
3,6434,t1,h,1,0
4,6434,t1,i,1,0
5,6434,t1,ic,2,0
6,6434,t1,h,1,0
7,6434,t1,i,1,0
8,6434,t1,ic,2,0
9,6434,t2,ic,3,3
10,6434,t2,h,5,4
11,6434,t2,i,3,3
12,6434,t2,ic,2,3
13,6434,t2,i,22,2
14,6434,t2,i,3,2
15,6434,t2,h,4,3
16,6434,t2,h,5,4
17,6434,t2,ic,3,3
18,6434,t2,h,4,3
19,6434,t2,ic,3,3
20,6434,t2,i,2,1
21,6434,t2,ic,3,2
22,6434,t2,i,3,3
23,6434,t2,h,3,3
